ID,customer_code,product_code,estimated_cost,quantity,unit_price,delivery_date,status,created_at
mfqn0wkbgnfqct,15112009,PROD001,3761.33,8,470.17,2025-09-25,SHIPPED,2025-08-22T09:28:59.100Z
mfqn0wkcbmskx4,15112010,PROD002,3886.99,43,90.40,2025-09-25,DELIVERED,2025-09-03T09:28:59.100Z
mfqn0wkcwjka2t,15112011,PROD003,1593.65,88,18.11,2025-10-18,SHIPPED,2025-09-09T09:28:59.100Z
mfqn0wkc85yn3a,15112012,PROD004,1065.08,1,1065.08,2025-09-25,DELIVERED,2025-09-02T09:28:59.100Z
mfqn0wkc0gmzl8,15112013,PROD005,8156.81,99,82.39,2025-09-28,PENDING,2025-09-13T09:28:59.100Z
mfqn0wkccniu4r,15112014,PROD006,686.22,32,21.44,2025-09-23,PENDING,2025-08-30T09:28:59.100Z
mfqn0wkcn36e62,15112015,PROD007,5984.23,14,427.44,2025-09-28,PENDING,2025-09-13T09:28:59.100Z
mfqn0wkconbz5m,15112016,PROD008,1448.55,13,111.43,2025-10-17,SHIPPED,2025-09-13T09:28:59.100Z
mfqn0wkcdg6rqh,15112017,PROD009,5024.63,49,102.54,2025-10-09,CONFIRMED,2025-08-21T09:28:59.100Z
mfqn0wkcr2v4le,15112018,PROD010,2246.80,81,27.74,2025-09-20,DELIVERED,2025-09-15T09:28:59.100Z
mfqn0wkccw0t0n,15112019,PROD011,5370.91,66,81.38,2025-10-12,PENDING,2025-09-09T09:28:59.100Z
mfqn0wkcwft5y3,15112020,PROD012,1752.15,71,24.68,2025-10-05,CANCELLED,2025-09-08T09:28:59.100Z
mfqn0wkcwxv2am,15112021,PROD013,4851.73,56,86.64,2025-10-08,CANCELLED,2025-08-21T09:28:59.100Z
mfqn0wkc2akkb3,15112022,PROD014,8112.47,39,208.01,2025-09-23,SHIPPED,2025-09-17T09:28:59.100Z
mfqn0wkckik3zg,15112023,PROD015,2457.24,49,50.15,2025-10-10,DELIVERED,2025-08-26T09:28:59.100Z
mfqn0wkc560357,15112024,PROD016,3199.67,59,54.23,2025-09-26,SHIPPED,2025-09-04T09:28:59.100Z
mfqn0wkcyj0jcw,15112025,PROD017,8180.17,57,143.51,2025-10-07,CANCELLED,2025-09-10T09:28:59.100Z
mfqn0wkc3lgbcn,15112026,PROD018,8912.85,90,99.03,2025-10-13,PENDING,2025-09-15T09:28:59.100Z
mfqn0wkcwt009m,15112027,PROD019,9100.02,78,116.67,2025-10-04,DELIVERED,2025-09-05T09:28:59.100Z
mfqn0wkc8twyeo,15112028,PROD020,8265.25,33,250.46,2025-09-21,CONFIRMED,2025-09-14T09:28:59.100Z
mfqn0wkcfe3g8f,15112029,PROD021,3319.01,56,59.27,2025-10-07,DELIVERED,2025-08-25T09:28:59.100Z
mfqn0wkcf3oycu,15112030,PROD022,6595.29,7,942.18,2025-10-02,DELIVERED,2025-08-26T09:28:59.100Z
mfqn0wkc5xahul,15112031,PROD023,2444.89,9,271.65,2025-10-13,SHIPPED,2025-08-21T09:28:59.100Z
mfqn0wkc3xkp0t,15112032,PROD024,2598.01,49,53.02,2025-09-24,DELIVERED,2025-08-27T09:28:59.100Z
mfqn0wkcerqnxq,15112033,PROD025,713.60,38,18.78,2025-10-05,DELIVERED,2025-08-30T09:28:59.100Z
mfqn0wkcbjhadr,15112034,PROD026,8863.29,6,1477.22,2025-10-02,DELIVERED,2025-08-22T09:28:59.100Z
mfqn0wkcuuh376,15112035,PROD027,7363.48,18,409.08,2025-10-15,CONFIRMED,2025-08-31T09:28:59.100Z
mfqn0wkce2xqib,15112036,PROD028,45.44,49,0.93,2025-09-21,CONFIRMED,2025-08-23T09:28:59.100Z
mfqn0wkcfsve9i,15112037,PROD029,1005.32,95,10.58,2025-09-28,DELIVERED,2025-08-28T09:28:59.100Z
mfqn0wkcx54set,15112038,PROD030,6754.37,62,108.94,2025-10-01,CANCELLED,2025-09-06T09:28:59.100Z
mfqn0wkclyut9g,15112039,PROD031,1363.52,9,151.50,2025-09-24,CONFIRMED,2025-09-16T09:28:59.100Z
mfqn0wkc3143qj,15112040,PROD032,1111.35,25,44.45,2025-10-05,SHIPPED,2025-08-29T09:28:59.100Z
mfqn0wkchz1zmi,15112041,PROD033,4924.85,87,56.61,2025-09-20,PENDING,2025-09-04T09:28:59.100Z
mfqn0wkc8sqbiv,15112042,PROD034,6692.76,18,371.82,2025-09-20,PENDING,2025-09-19T09:28:59.100Z
mfqn0wkcsi9ypt,15112043,PROD035,4584.32,11,416.76,2025-10-01,DELIVERED,2025-09-16T09:28:59.100Z
mfqn0wkcshvlfd,15112044,PROD036,6395.69,18,355.32,2025-09-25,DELIVERED,2025-09-06T09:28:59.100Z
mfqn0wkc3c4nyx,15112045,PROD037,2645.07,27,97.97,2025-09-30,SHIPPED,2025-08-26T09:28:59.100Z
mfqn0wkcaf248z,15112046,PROD038,2662.33,80,33.28,2025-10-15,CONFIRMED,2025-08-28T09:28:59.100Z
mfqn0wkcqxc2yt,15112047,PROD039,8406.79,58,144.94,2025-10-04,PENDING,2025-08-29T09:28:59.100Z
mfqn0wkc6zluik,15112048,PROD040,5713.21,87,65.67,2025-10-11,CANCELLED,2025-08-21T09:28:59.100Z
mfqn0wkc5xj1yn,15112049,PROD041,512.80,3,170.93,2025-09-28,DELIVERED,2025-09-19T09:28:59.100Z
mfqn0wkcxrjwgo,15112050,PROD042,1867.21,58,32.19,2025-09-20,SHIPPED,2025-09-10T09:28:59.100Z
